filmName,realName,realGender,filmBudget,firstFilm,year
Bourachka,Tayaa Walid,M,0.53,true,2018
L’Amour flou,Bohringer Romane / Rebbot Philippe,F/M,0.52,false,2018
Monsieur,Delahousse Laurent,M,0.52,true,2018
Shine your eyes,Mariani Matias,M,0.51,false,2018
Negative Numbers,Beria Uta,F,0.51,false,2018
Regarde-moi,Belkadhi Nejib,M,0.50,false,2018
Lands of loneliness,Colell Meritxell,F,0.49,false,2018
La Prison,Odiot Alice,F,0.48,true,2018
Photograph-women,Sparatore Ester,F,0.46,false,2018
Histoire d'Orly,Tene K Francis,M,0.46,false,2018
Sauvages,Berry Dennis,M,0.45,false,2018
Skokan,Vaclav Petr,M,0.43,false,2018
Versus,Valla François,M,0.43,true,2018
France,Simon Luangkhot Kiyé,M,0.42,true,2018
La Beauté du geste,De Lauzanne Xavier,M,0.41,false,2018
Beau joueur,Gleize Delphine,F,0.40,false,2018
Les Equilibristes,Michel Perrine,F,0.39,true,2018
Au temps du cannibalisme,Edkins Teboho,M,0.39,true,2018
Laurence,Pfeiffer Raphael,M,0.37,true,2018
Le Périmètre de Kamcé,Zuchuat Olivier,M,0.36,false,2018
Le Choix d’Ali,Hakkar Amor,M,0.35,false,2018
Haut perchés,Ducastel Olivier,M,0.35,false,2018
Impulso,Belmonte Emilio,M,0.34,true,2018
Comme un seul homme,Bellion Eric,M,0.34,true,2018
Retour à Bollene,Hamich Saïd,M,0.34,true,2018
Kombissiri,Letzgus René,M,0.33,false,2018
Demons in paradise,Ratnam Jude,M,0.33,true,2018
Maguy Marin l'urgence d'agir,Mambouch David,M,0.33,true,2018
Le Choc du futur,Collin Marc,M,0.33,true,2018
Mr Gay Syria,Toprak Ayse,F,0.32,true,2018
Nous le peuple,Bories Claudine / Chagnard Patrice,F/M,0.32,false,2018
Sillages,Rinaldi Léa,F,0.31,false,2018
Le Bel été,Creton Pierre,M,0.31,false,2018
Etre vivant et le savoir,Cavalier Alain,M,0.29,false,2018
Comment j'ai rencontré ma mère,Petit Guillaume,M,0.28,true,2018
On l'appelait Roda,Silvera Charlotte,F,0.27,false,2018
On a 20 ans pour changer le monde,Medigue Hélène,F,0.26,true,2018
Mise à nue,Selignac Arnaud,M,0.25,false,2018
Le Bonnet de Modibo,Diallo Boubakar,M,0.25,false,2018
Après l'ombre,Mercurio Stéphane,M,0.23,false,2018
Kat people,Gastine Marco,M,0.22,false,2018
Breathe,Haskell Stéphane,M,0.21,true,2018
Le Ciel étoilé au-dessus de ma tête,Klipper Ilan,M,0.21,false,2018
Sundays,Avramis Alethea C.,F,0.20,false,2018
Out,Parrot Denis,M,0.20,true,2018
Sur le plancher des vaches,Tempo Fabrice,M,0.18,true,2018
Premières solitudes,Simon Claire,F,0.16,false,2018
Libre,Toesca Michel,M,0.16,false,2018
Coby,Sonderegger Christian,M,0.16,true,2018
Isola,Deschamps Fabianny,F,0.15,false,2018
Les Etoiles restantes,Paillard Loïc,M,0.15,true,2018
Music Stax Academy,Sobelman Hugo,M,0.14,true,2018
Black indians,Beranger Jo / Patrouilleau Edith / Poulain Hugues,F/M,0.10,false,2018
J'aime mon patron,Gravelle Brice,M,0.07,true,2018
Les Beaux menteurs,Mercier Bruno,M,0.06,false,2018
Editeur,Otchakovski-Laurens Paul,M,0.03,false,2018
